Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
3d4760f9d6d0d31d90d7d67f88315573;ZURÜCK AN DIE ARBEIT!;Wie aus Business-Theatern wieder echte Unternehmen werden;Lars Vollmer;Linde international;;;;;;
;;;;;;;;;;
e5b6bbb5307bbb186e0fe73d80aa7871;Grundgebiete der Elektrotechnik 1;Gleichstromnetze, Operationsver-stärkerschaltungen, elektrische und magnetische Felder;H. Clausert, G. Wiesmann;Oldenbourg;CrowdFarming Box 1;;;;;
26b3b7a7495795ec35c245e1e6fb6d6a;Grundgebiete der Elektrotechnik 2;Wechselströme, Drehstrom, Leitungen, Anwendungen der Fourier-, der Laplace- und der Z-Transformation;Horst Clausert, Gunther Wiesmann, Volker Hinrichsen, Jürgen Stenzel;Oldenbourg;CrowdFarming Box 1;;;;;
64f9583bb4d71094755f7beb2e635388;Aufgabensammlung zu den Grundlagen der Elektrotechnik;Mit Lösungen und ausführlichen Lösungswegen;Gert Hagmann;AULA;CrowdFarming Box 1;;;;;
2ccb62cd82c2ca64a5ed73e82804f790;Skriptum zu Grundlagen der Elektrodynamik und Technische Elektrodynamik;Fachbereich 18, Elektrotechnik und Informationstechnik;Prof. Dr.-Ing. Thomas Weiland;TECHNISCHE UNIVERSITÄT DARMSTADT;CrowdFarming Box 1;;;;;
f8e8c60533bbd3d10d73d5de5de6d4ec;Grundlagen der Elektrotechnik;Das bewährte Lehrbuch für Studierende der Elektrotechnik und anderer technischer Studiengänge ab 1. Semester;Gert Hagmann;AULA;CrowdFarming Box 1;;;;;
0c534b618d1847c5b6d6e3c43698bf29;Skript zur Vorlesung Mechanik I für Elektrotechniker;5. Auflage;Prof. Dr.-Ing. R. Markert;Technische Universität Darmstadt Fachbereich Mechanik;CrowdFarming Box 1;;;;;
f14e54995788056b453ab7262a4169fd;THE SIMULATION PLATFORM FOR POWER ELECTRONIC SYSTEMS;Workshop Documentation (Vol. 1) 2016;;Plecs;CrowdFarming Box 1;;;;;
3ae971acf325648d53e759c8ff29bb59;Grundlagen der vektoriellen Netzwerkanalyse;;Michael Hiebel;ROHDE & SCHWARZ;CrowdFarming Box 1;;;;;
5976acc2d3d8fe5528c92c4a78bdde89;Grundlagen der Spektrumanalyse;;Christoph Rauscher;ROHDE&SCHWARZ;CrowdFarming Box 1;;;;;
411542f77d72c233da17ddbe67b1b920;FILTERN ohne Stress;Theorie - Konzept - Praxis;Franz Peter Zantis, Kurt Diedrich;ellektor;CrowdFarming Box 1;;;;;
dc35d89e85e128fb68bd3bcd8e62dc17;Systemdynamik und Regelungstechnik III;;Prof. Dr.-Ing. J. Adamy;TECHNISCHE UNIVERSITAT DARMSTADT;CrowdFarming Box 1;;;;;
da67ddeed86239bbeec08d046669950c;Systemdynamik und Regelungstechnik III;Aufgabensammlung;Prof. Dr.-Ing. J. Adamy;TECHNISCHE UNIVERSITAT DARMSTADT;CrowdFarming Box 1;;;;;
